,lugares,LAT_google,LON_google,labels,Quotes,Position
85,Santiago,-33.4488897,-70.6692655,GPE,PART ONE The boy's name was Santiago,0
14,Andalusia,37.5442706,-4.7277528,GPE,"The girl was typical of the region of Andalusia, with flowing black hair, and eyes that vaguely recalled the Moorish conquerors",1
15,Andalusia,37.5442706,-4.7277528,GPE,"As long as the boy knew how to find the best pastures in Andalusia, they would be his friends",2
87,Spain,40.46366700000001,-3.74922,GPE,It was the time of day when all of Spain slept during the summer,3
98,Tarifa,36.0143209,-5.6044497,GPE,"Looking at the sun, he calculated that he would reach Tarifa before midday",4
99,Tarifa,36.0143209,-5.6044497,GPE,"He had suddenly remembered that, in Tarifa, there was an old woman who interpreted dreams",5
24,Egypt,26.820553,30.802498,GPE,“And this is my interpretation: you must go to the Pyramids in Egypt,6
25,Egypt,26.820553,30.802498,GPE,".” “Well, how am I going to get to Egypt?” “I only interpret dreams",7
26,Egypt,26.820553,30.802498,GPE,.” “And what if I never get to Egypt?” “Then I don't get paid,8
0,Africa,-8.783195,34.508523,LOC,Africa was only a few hours from Tarifa; one had only to cross the narrow straits by boat,9
100,Tarifa,36.0143209,-5.6044497,GPE,Africa was only a few hours from Tarifa; one had only to cross the narrow straits by boat,10
74,Salem,42.51954,-70.8967155,GPE,".” “Well then, we could say that I was born in Salem",11
75,Salem,42.51954,-70.8967155,GPE,".” The boy didn't know where Salem was, but he didn't want to ask, fearing that he would appear ignorant",12
76,Salem,42.51954,-70.8967155,GPE,"“So, what is Salem like?” he asked, trying to get some sort of clue",13
77,Salem,42.51954,-70.8967155,GPE,But he knew that Salem wasn't in Andalusia,14
16,Andalusia,37.5442706,-4.7277528,GPE,But he knew that Salem wasn't in Andalusia,15
78,Salem,42.51954,-70.8967155,GPE,“And what do you do in Salem?” he insisted,16
79,Salem,42.51954,-70.8967155,GPE,“What do I do in Salem?” The old man laughed,17
80,Salem,42.51954,-70.8967155,GPE,"“Well, I'm the king of Salem!” People say strange things, the boy thought",18
81,Salem,42.51954,-70.8967155,GPE,"* “I'm the king of Salem,” the old man had said",19
107,earth,37.2321077,-95.7243335,LOC,It's your mission on earth,20
1,Africa,-8.783195,34.508523,LOC,"When he's an old man, he's going to spend a month in Africa",21
2,Africa,-8.783195,34.508523,LOC,"There was a small building there, with a window at which people bought tickets to Africa",22
27,Egypt,26.820553,30.802498,GPE,And he knew that Egypt was in Africa,23
3,Africa,-8.783195,34.508523,LOC,And he knew that Egypt was in Africa,24
17,Andalusia,37.5442706,-4.7277528,GPE,He knew all the fields and pastures of Andalusia,25
4,Africa,-8.783195,34.508523,LOC,"From there, he could see Africa in the distance",26
62,Moors,36.918332,-88.219528,LOC,"Someone had once told him that it was from there that the Moors had come, to occupy all of Spain",27
88,Spain,40.46366700000001,-3.74922,GPE,"Someone had once told him that it was from there that the Moors had come, to occupy all of Spain",28
47,Levant,34.0757336,37.9784585,GPE,"He knew that wind: people called it the levanter, because on it the Moors had come from the Levant at the eastern end of the Mediterranean",29
61,Mediterranean,34.5531284,18.0480105,LOC,"He knew that wind: people called it the levanter, because on it the Moors had come from the Levant at the eastern end of the Mediterranean",30
18,Andalusia,37.5442706,-4.7277528,GPE,"The sheep, the merchant's daughter, and the fields of Andalusia were only steps along the way to his destiny",31
28,Egypt,26.820553,30.802498,GPE,"“It's in Egypt, near the Pyramids",32
65,Pyramids,36.8017443,-95.1432997,LOC,"“It's in Egypt, near the Pyramids",33
101,Tarifa,36.0143209,-5.6044497,GPE,"* At the highest point in Tarifa there is an old fort, built by the Moors",34
5,Africa,-8.783195,34.508523,LOC,"From atop its walls, one can catch a glimpse of Africa",35
82,Salem,42.51954,-70.8967155,GPE,"Melchizedek, the king of Salem, sat on the wall of the fort that afternoon, and felt the levanter blowing in his face",36
83,Salem,42.51954,-70.8967155,GPE,But the king of Salem hoped desperately that the boy would be successful,37
84,Salem,42.51954,-70.8967155,GPE,"Then when he spoke about me he would say that I am Melchizedek, the king of Salem",38
6,Africa,-8.783195,34.508523,LOC,".” * How strange Africa is, thought the boy",39
94,Tangier,35.7594651,-5.833954299999999,GPE,He was sitting in a bar very much like the other bars he had seen along the narrow streets of Tangier,40
73,Saint Santiago Matamoros,38.8860146,-77.0213921,GPE,"As a child in church, he had always looked at the image of Saint Santiago Matamoros on his white horse, his sword unsheathed, and figures such as these kneeling at his feet",41
66,Pyramids,36.8017443,-95.1432997,LOC,"Before long, maybe in just a few days, he would be at the Pyramids",42
19,Andalusia,37.5442706,-4.7277528,GPE,"Yes, the old man had known what he was talking about: during the time the boy had spent in the fields of Andalusia, he had become used to learning which path he should take by observing the ground and the sky",43
89,Spain,40.46366700000001,-3.74922,GPE,We're only two hours from Spain,44
71,Sahara,23.4162027,25.66283,LOC,"“You have to cross the entire Sahara desert,” said the young man",45
7,Africa,-8.783195,34.508523,LOC,“Tangier is not like the rest of Africa,46
95,Tangier,35.7594651,-5.833954299999999,GPE,.” They walked together through the narrow streets of Tangier,47
29,Egypt,26.820553,30.802498,GPE,"The boy promised himself that, when he returned from Egypt, he would buy that sword",48
96,Tangier,35.7594651,-5.833954299999999,GPE,"Relaxed and unhurried, he resolved that he would walk through the narrow streets of Tangier",49
23,Ceuta,35.8893874,-5.3213455,GPE,"The nearby city of Ceuta had grown faster than Tangier, and business had fallen off",50
30,Egypt,26.820553,30.802498,GPE,"In return, I need money to get to Egypt tomorrow",51
31,Egypt,26.820553,30.802498,GPE,"“Even if you cleaned my crystal for an entire year… even if you earned a good commission selling every piece, you would still have to borrow money to get to Egypt",52
48,Mecca,21.3890824,39.8579118,GPE,"We are obliged, at least once in our lives, to visit the holy city of Mecca",53
49,Mecca,21.3890824,39.8579118,GPE,"""Mecca is a lot farther away than the Pyramids",54
50,Mecca,21.3890824,39.8579118,GPE,"I thought that someday I'd be rich, and could go to Mecca",55
51,Mecca,21.3890824,39.8579118,GPE,"At the same time, people were passing my shop all the time, heading for Mecca",56
52,Mecca,21.3890824,39.8579118,GPE,".” “Well, why don't you go to Mecca now?” asked the boy",57
53,Mecca,21.3890824,39.8579118,GPE,"""Because it's the thought of Mecca that keeps me alive",58
54,Mecca,21.3890824,39.8579118,GPE,I just want to dream about Mecca,59
115,the Plaza of the Sacred Stone,41.5883057,-93.7512197,FAC,"I've already imagined a thousand times crossing the desert, arriving at the Plaza of the Sacred Stone, the seven times I walk around it before allowing myself to touch it",60
90,Spain,40.46366700000001,-3.74922,GPE,"The boy estimated that, if he worked for six more months, he could return to Spain and buy sixty sheep, and yet another sixty",61
32,Egypt,26.820553,30.802498,GPE,"Since that morning in the marketplace, he had never again made use of Urim and Thummim, because Egypt was now just as distant a dream for him as was Mecca for the merchant",62
55,Mecca,21.3890824,39.8579118,GPE,"Since that morning in the marketplace, he had never again made use of Urim and Thummim, because Egypt was now just as distant a dream for him as was Mecca for the merchant",63
102,Tarifa,36.0143209,-5.6044497,GPE,"Anyway, the boy had become happy in his work, and thought all the time about the day when he would disembark at Tarifa as a winner",64
103,Tarifa,36.0143209,-5.6044497,GPE,".” It's good I refrained from saying anything to the baker in Tarifa, thought the boy to himself",65
64,Orient,41.203044,-94.41468449999999,LOC,The third said that it was a tradition in the Orient to use crystal glasses for tea because it had magical powers,66
8,Africa,-8.783195,34.508523,LOC,"Enough to buy himself a hundred and twenty sheep, a return ticket, and a license to import products from Africa into his own country",67
56,Mecca,21.3890824,39.8579118,GPE,And you have the money you need to go to Mecca,68
57,Mecca,21.3890824,39.8579118,GPE,But you know that I'm not going to go to Mecca,69
91,Spain,40.46366700000001,-3.74922,GPE,"For nearly a year, he had been working incessantly, thinking only of putting aside enough money so that he could return to Spain with pride",70
97,Tangier,35.7594651,-5.833954299999999,GPE,"He remembered the smile of the candy seller, on his first day in Tangier, when he had nothing to eat and nowhere to go—that smile had also been like the old king's smile",71
58,Mecca,21.3890824,39.8579118,GPE,"Who knows… maybe it's better to be like the crystal merchant: never go to Mecca, and just go through life wanting to do so, he thought, again trying to convince himself",72
33,Egypt,26.820553,30.802498,GPE,But maybe I'll never have another chance to get to the Pyramids in Egypt,73
20,Andalusia,37.5442706,-4.7277528,GPE,"The hills of Andalusia were only two hours away, but there was an entire desert between him and the Pyramids",74
45,Europe,54.5259614,15.2551187,LOC,"In one he had read that, many years ago, a famous Arabian alchemist had visited Europe",75
114,the Al-Fayoum oasis,29.453611,30.580833,LOC,"“He lives at the Al-Fayoum oasis,” his friend had said",76
72,Sahara,23.4162027,25.66283,LOC,"Outside, a huge caravan was being prepared for a crossing of the Sahara, and was scheduled to pass through Al-Fayoum",77
11,Al-Fayoum,29.453611,30.580833,LOC,"Outside, a huge caravan was being prepared for a crossing of the Sahara, and was scheduled to pass through Al-Fayoum",78
108,earth,37.2321077,-95.7243335,LOC,"“They're only made of rock crystal, and there are millions of rock crystals in the earth",79
34,Egypt,26.820553,30.802498,GPE,".” “But I'm going to Egypt,” the boy said",80
35,Egypt,26.820553,30.802498,GPE,"“Al-Fayoum is in Egypt,” said the Arab",81
9,Africa,-8.783195,34.508523,LOC,"The boy knew what he was about to describe, though: the mysterious chain that links one thing to another, the same chain that had caused him to become a shepherd, that had caused his recurring dream, that had brought him to a city near Africa, to find a king, and to be robbed in order to meet a crystal merchant, and… The closer one gets to realizing his destiny, the more that destiny becomes his true reason for being, thought the boy",82
104,Tarifa,36.0143209,-5.6044497,GPE,"The wind never stopped, and the boy remembered the day he had sat at the fort in Tarifa with this same wind blowing in his face",83
21,Andalusia,37.5442706,-4.7277528,GPE,"It reminded him of the wool from his sheep… his sheep who were now seeking food and water in the fields of Andalusia, as they always had",84
44,El Cairum,,,GPE,"“I used to live near El Cairum,” he said",85
59,Mecca,21.3890824,39.8579118,GPE,"One year, when the crop was the best ever, we all went to Mecca, and I satisfied the only unmet obligation in my life",86
63,Nile,23.9727595,32.8749206,LOC,"""One day, the earth began to tremble, and the Nile overflowed its banks",87
92,Spain,40.46366700000001,-3.74922,GPE,"* The boy couldn't believe what he was seeing: the oasis, rather than being just a well surrounded by a few palm trees—as he had seen once in a geography book—was much larger than many towns back in Spain",88
105,Tarifa,36.0143209,-5.6044497,GPE,"And the boy sat there by the well for a long time, remembering that one day in Tarifa the levanter had brought to him the perfume of that woman, and realizing that he had loved her before he even knew she existed",89
109,earth,37.2321077,-95.7243335,LOC,"Those who don't return become a part of the clouds, a part of the animals that hide in the ravines and of the water that comes from the earth",90
36,Egypt,26.820553,30.802498,GPE,"“Our merchants bought that man, and brought him to Egypt",91
37,Egypt,26.820553,30.802498,GPE,".” The elder continued, “When the pharaoh dreamed of cows that were thin and cows that were fat, this man I'm speaking of rescued Egypt from famine",92
38,Egypt,26.820553,30.802498,GPE,"The Tradition saved Egypt from famine in those days, and made the Egyptians the wealthiest of peoples",93
86,Santiago Matamoros,25.8055556,-97.62694429999999,GPE,"He was reminded of the image of Santiago Matamoros, mounted on his white horse, with the infidels beneath his hooves",94
12,Al-Fayoum,29.453611,30.580833,GPE,"* Next morning, there were two thousand armed men scattered throughout the palm trees at Al-Fayoum",95
13,Al-Fayoum,29.453611,30.580833,GPE,"When they reached the white tent at the center of Al-Fayoum, they withdrew their scimitars and rifles",96
39,Egypt,26.820553,30.802498,GPE,"He repeated his story about Joseph of Egypt, and asked the boy to become the counselor of the oasis",97
60,Mecca,21.3890824,39.8579118,GPE,"The boy remembered the crystal merchant who had always wanted to go to Mecca, and the Englishman in search of the alchemist",98
40,Egypt,26.820553,30.802498,GPE,".” They mounted their horses, and rode out in the direction of the Pyramids of Egypt",99
110,earth,37.2321077,-95.7243335,LOC,"It's what turns lead into gold, and makes the gold return to the earth",100
113,east,39.0185336,-94.2792411,LOC,"In that part of the world, it was called the sirocco, because it brought moisture from the oceans to the east",101
22,Andalusia,37.5442706,-4.7277528,GPE,"Perhaps, in the places beyond the pastures where his sheep lived, men thought that the wind came from Andalusia",102
111,earth,37.2321077,-95.7243335,LOC,"The tents were being blown from their ties to the earth, and the animals were being freed from their tethers",103
112,earth,37.2321077,-95.7243335,LOC,"He saw that omens were scattered throughout the earth and in space, and that there was no reason or significance attached to their appearance; he could see that not the deserts, nor the winds, nor the sun, nor people knew why they had been created",104
46,Giza,30.0130557,31.2088526,GPE,"The caravans had been stopped at Giza for some time, waiting for the wars to end",105
68,Rome,41.9027835,12.4963655,GPE,"""In ancient Rome, at the time of Emperor Tiberius, there lived a good man who had two sons",106
69,Rome,41.9027835,12.4963655,GPE,"The other son was a poet, and delighted all of Rome with his beautiful verses",107
70,Rome,41.9027835,12.4963655,GPE,"""'The verses of your son who was the poet were very popular in Rome,' the angel said",108
67,Pyramids,36.8017443,-95.1432997,LOC,"There, illuminated by the light of the moon and the brightness of the desert, stood the solemn and majestic Pyramids of Egypt",109
41,Egypt,26.820553,30.802498,GPE,"There, illuminated by the light of the moon and the brightness of the desert, stood the solemn and majestic Pyramids of Egypt",110
42,Egypt,26.820553,30.802498,GPE,"During his time in the desert, he had learned that, in Egypt, the scarab beetles are a symbol of God",111
43,Egypt,26.820553,30.802498,GPE,"Finally, the boy screamed at the men, “I'm digging for treasure!” And, although his mouth was bleeding and swollen, he told his attackers that he had twice dreamed of a treasure hidden near the Pyramids of Egypt",112
93,Spain,40.46366700000001,-3.74922,GPE,I dreamed that I should travel to the fields of Spain and look for a ruined church where shepherds and their sheep slept,113
106,Tarifa,36.0143209,-5.6044497,GPE,"Then he remembered that he had to get to Tarifa so he could give one-tenth of his treasure to the Gypsy woman, as he had promised",114
10,Africa,-8.783195,34.508523,LOC,"It was the levanter, the wind that came from Africa",115
