,Name,Website,Phone Number,LON,LAT,Rating,Popularity,Last 5 Reviews,type
56,Adrian Park,http://www.sovraintendenzaroma.it/i_luoghi/ville_e_parchi_storici/passeggiate_parchi_e_giardini/parco_della_mole_adriana,+39 06 0608,12.4663003,41.9038701,4.5,19321,"[]<b>Author: </b>Thibaut De Vriendt; <br><b>Rating: </b>4<br><b>When: </b>8 months ago<br>If you are under 25 years old it is €2. Good scenic view on top of the Castle.<br><br><b>Author: </b>Shelby Elkins; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>The park is free to access and has some very nice views! There are plenty of benches to sit on and relax. People also ride their bikes, play with their dogs, and eat snacks from nearby food trucks. Highly recommend!<br><br><b>Author: </b>Joeni Arianto Kurniawan; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>A pleasant park, very comfortable for exercise, at the center of Rome.<br><br><b>Author: </b>Mateusz Ciarkowski; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Really nice park to have a night walk with your secon half, take wine with you and enjoy. On one side of the park you have massive castle Castel Sant'Angelo, on the other side you have Tyber River. Just next to the river you can find some stalls with souvenirs.<br><br><b>Author: </b>Conor Kehoe; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>Very nice panoramic views of the city. The park is beautiful with a lovely atmosphere inside<br><br>",PRK
21,Villa Doria Pamphilj,http://www.sovraintendenzaroma.it/i_luoghi/ville_e_parchi_storici/ville_dei_nobili/villa_doria_pamphilj,+39 06 0608,12.4563403,41.8867604,4.6,15538,"[]<b>Author: </b>Lydia J; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>A very well kept park in Rome!

Really like this park because it is very beautiful,huge, well kept and it also have different view points.

Totally recommend this park if you just wanna go for some walk and especially if you have kids or dog!

A bit tricky to find a car park if you are coming with car.<br><br><b>Author: </b>Naz Shirani; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Lovely park in Rome. So many beautiful turtles!

Avoid Viva Bistro, it was awful!<br><br><b>Author: </b>Khalid Sohail; <br><b>Rating: </b>4<br><b>When: </b>a month ago<br>Very nice, big park. Its excellent for running, cycling and even for picnics. There is a lake inside the park which is very beautiful. There is also a cafe Vivi that is very good.<br><br><b>Author: </b>MaryYa; <br><b>Rating: </b>4<br><b>When: </b>3 months ago<br>Nice place for a wolk or sports activities. Plenty of space, high trees, lakes with adorable ducks. There is a villa house and green labyrinth on a territory but no access into it. Also searching for a parking place might be a struggle.<br><br><b>Author: </b>Pauline Marie Calimlim; <br><b>Rating: </b>4<br><b>When: </b>9 months ago<br>Huge park with such beautiful surprises! Great for walks and exercise. It also has a children's playground and many benches to seat on.<br><br>",PRK
23,Fontana dell'Acqua Paola,http://www.sovraintendenzaroma.it/i_luoghi/roma_medioevale_e_moderna/fontane/mostra_dell_acqua_paola_al_gianicolo,+39 06 0608,12.4641583,41.888801,4.6,6455,"[]<b>Author: </b>Sean Hollier; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>A really nice location on the West side of Rome, found it by accident in a Park area, beautiful views over Rome and the River Tiber. An easy walk back into the main areas, When you are at the location, walk a littler further North West into the park area before heading back down.<br><br><b>Author: </b>Siria “siriadotcom” Scandellari; <br><b>Rating: </b>5<br><b>When: </b>11 months ago<br>What can I say? It's one of the most beautiful locations in Rome!

There's no need to elaborate, just visit this gorgeous place if you're in the area. Day or night, it will take your breath away!<br><br><b>Author: </b>pacciunettu; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Beautiful as all Rome. And the view is one of the best view of Rome. High suggested in sunset time and night time. Deservr a view.<br><br><b>Author: </b>Ahlam Saad; <br><b>Rating: </b>5<br><b>When: </b>6 months ago<br>Wooow that wonderful place, it's beautiful and the atmosphere is so comfortable and quite..
You can also see Roma with all it's beautiful rooftops, the view is awesome<br><br><b>Author: </b>David Lown; <br><b>Rating: </b>5<br><b>When: </b>4 months ago<br>On account of its size, it is better known locally as Il Fontanone (the Big Fountain). The fountain is crowned with the coat of arms of Pope Paul V (r. 1605-21), who commissioned its creation.<br><br>",PRK
5,Fiumi Fountain,http://www.060608.it/it/cultura-e-svago/beni-culturali/beni-architettonici-e-storici/fontana-dei-fiumi.html,+39 06 0608,12.4730872,41.8989673,4.8,4575,"[]<b>Author: </b>Marcos Chavarria; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>All comments agree in one thing. This is a beautiful square, the 4 rivers fountain is a great sight. The details and the history behind it are just marvelous. You can have a coffee. Lunch or dinner at the surrounding restaurants, have a look at the daily life at the Piazza Navona is just delightful. Recommended for all parties<br><br><b>Author: </b>Shelby Elkins; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>Always a pretty sight to see! Of course, Piazza Navona is free to visit. There are plenty of food options in the square and so much to see. The church is free to visit, and the three fountains are very nice. You can even talk to a psychic and learn your possible destiny!🤫<br><br><b>Author: </b>Mahammad Alizada; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Amazing<br><br><b>Author: </b>Hartmut P; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>Fountain made by the famous baroque artist Bernini , depicting the four great rivers of the World<br><br><b>Author: </b>Regan; <br><b>Rating: </b>5<br><b>When: </b>5 months ago<br>The coolest back story for a fountain ever! The figures on the fountain are all covering their faces to save their eyes from the sight of a rival Architects Building adjacent. Brilliant! Incredible sculpture also and set an an impressive square.<br><br>",PRK
6,Orto Botanico di Roma,https://web.uniroma1.it/ortobotanico/,+39 06 4991 7107,12.4628307,41.8923247,4.4,3655,"[]<b>Author: </b>tomas kochan; <br><b>Rating: </b>1<br><b>When: </b>8 months ago<br>Doesn't worth the money..8€ I could spend a lot better.<br><br><b>Author: </b>Vladimir Kostic; <br><b>Rating: </b>1<br><b>When: </b>9 months ago<br>Don't go here... 8eur ticket to see sad plants..many of them half dead... parts of the garden are literally a mess

there are many beautiful gardens in Rome that are better taken cared and more pleasant to spend time in... the only worthwhile place was a bench in bamboo section with a nice view (actually bamboo section was the only decent part)

All in all it was very sad experience for us<br><br><b>Author: </b>Alice Ho; <br><b>Rating: </b>2<br><b>When: </b>8 months ago<br>Maybe it's the time of the year. Not much plants nor flowers to see. Also not very well kept.<br><br><b>Author: </b>Dri Kool (thekoolitaly); <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>An absolute delight. During the summer can be an oasis to hide away from sun. Take a guided tour , highly recommended... although I'm not sure if their tours are only in Italian.<br><br><b>Author: </b>Kuala Bound; <br><b>Rating: </b>4<br><b>When: </b>10 months ago<br>The hill is a huge help to the beauty of the garden. I was impressed by the massive ancient platanus next to the eleven fountains steps. And i liked also the tropical greenhouse but i fear they should find a way to increase its roof not enough high. Fens valley looked a bit messy. The Samples garden can be risky so pay attention to bees.<br><br>",PRK
4,Gardens of Vatican City,http://www.museivaticani.va/,+39 06 6988 4676,12.4502458,41.9036267,4.7,1784,"[]<b>Author: </b>Jasper Verbeke; <br><b>Rating: </b>3<br><b>When: </b>8 months ago<br>Nice but not as spectacular as you would think, go to the top of the basilica first.<br><br><b>Author: </b>Maja Wis; <br><b>Rating: </b>3<br><b>When: </b>8 months ago<br>I guess the best part is restricted. The accessible bit is ok, you can see the wealth of Vatican poured into maintenance while keeping it ""simple"" at the same time<br><br><b>Author: </b>Dan (DV); <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>The bus tour was great, especially for the end of December when it can get cold. The bus had a plastic cover so you don't face any wind. There was practically no queue. You're allowed in with ~45 minutes before the time on the ticket and in no time you're past the scanners. There are separate counters from where you can get the tickets insinde the building (almost no line). When the tour is done, you can visit the rest of the museum; no other waiting involved.<br><br><b>Author: </b>Janos Kosa; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>Gorgeous place: a bit of silence & slow down in a busy city.<br><br><b>Author: </b>Call Me M.; <br><b>Rating: </b>5<br><b>When: </b>6 months ago<br>Probably one of the most beautiful spots in Rome.
It's a quiet, relaxing place that is filled with exquisite art from all over the world.
foreign trees and parrots (that were gifts to the Popes) also make up most of the fauna and flora. interestingly there are also some greek gods portraied in there!
I highly suggest you take time to visit the Vatican Gardens, its worth every penny and second spent in there!<br><br>",PRK
13,Monte Ciocci,,,12.4370795,41.9063831,4.2,925,"[]<b>Author: </b>Syed Ahmed; <br><b>Rating: </b>4<br><b>When: </b>a week ago<br>Best for walking and spending a lovely evening with your loved ones<br><br><b>Author: </b>Ilaria Mazzetti; <br><b>Rating: </b>5<br><b>When: </b>9 months ago<br>One of the many viewpoints of Rome! I suggest to go at night, you can get an incredible view of Saint Peter's cathedral.<br><br><b>Author: </b>Joseph Benny; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Alternative view of St Peter's basilica. Nice view during the twilight.<br><br><b>Author: </b>Big Mike Wise; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>A great place to get away from the hustle and bustle of the city.<br><br><b>Author: </b>Marie Sheer; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>It's Rome and it's beautiful everywhere...<br><br>",PRK
8,Piazza Mazzini Gardens,,,12.4634962,41.9159241,3.7,857,"[]<b>Author: </b>Vale Jera; <br><b>Rating: </b>3<br><b>When: </b>3 months ago<br>have seen better days...<br><br><b>Author: </b>Lee Condemi; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Very beautiful...rome is a museum...it should be cleaner<br><br><b>Author: </b>Simon Cox; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Really nice cafe here in a quite park away from the bustle of the centre of Rome.<br><br><b>Author: </b>Mukesh Dabral; <br><b>Rating: </b>3<br><b>When: </b>3 years ago<br>Piazza Mazzini a beautiful  piazza but full of chaos of cars and bikes. There is nothing touristic about the piazza but if you are passing by  its nice feeling. There are some good restaurants around etc etc.<br><br><b>Author: </b>Guido Pallotta; <br><b>Rating: </b>5<br><b>When: </b>2 years ago<br>Nice piazza, very close to some great bars!<br><br>",PRK
3,Obelisco del Pantheon,http://www.sovraintendenzaroma.it/i_luoghi/roma_medioevale_e_moderna/fontane/fontana_di_piazza_della_rotonda,+39 06 678 9792,12.4767522,41.8993212,4.7,846,"[]<b>Author: </b>Scott Miller; <br><b>Rating: </b>5<br><b>When: </b>a week ago<br>I felt like I was in a movie 🎦. Magical place. To see more of my photo's please see my instagram page @scottstravelphotos<br><br><b>Author: </b>Michael Pilgrom; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>Definitely visit. It's free and very interesting<br><br><b>Author: </b>Muhammad Hamza; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>A Great place to enjoy your time and have some quality food as well.<br><br><b>Author: </b>Michael Ibukun; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>Pantheon, temporarily closed due to Covid19 restrictions. It looks cool on the outside, and I think that's enough to see.<br><br><b>Author: </b>Lorenzo Falorni; <br><b>Rating: </b>5<br><b>When: </b>11 months ago<br>Next to the Brazilian Embassy and if you take a right you end up in the Senate of the Republic.There's plenty of space, and the fountain may be looked upon from all angles too.<br><br>",PRK
14,Moor Fountain,http://060608.it/it/cultura-e-svago/beni-culturali/beni-architettonici-e-storici/fontana-del-moro.html,+39 06 0608,12.4731517,41.8981206,4.7,521,"[]<b>Author: </b>Hartmut P; <br><b>Rating: </b>5<br><b>When: </b>in the last week<br>Fountain designed in 1575 by giacomo della Porta, but the statue of the Moor is from the famous baroque artist Bernini<br><br><b>Author: </b>Vinay Kulkarni; <br><b>Rating: </b>5<br><b>When: </b>2 months ago<br>Lovely fountain in piazza novona. Nice old construction.<br><br><b>Author: </b>Derek Stewart (Stew-Art-Prints); <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Epic square in Rome many gorgeous fountains to admire.<br><br><b>Author: </b>Davide Danti; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Amazing fountain in Piazza Navona!! Is a sculpure made in marble and is amazing by night!! 🇮🇹🌃❤️<br><br><b>Author: </b>Skylar Sekr; <br><b>Rating: </b>3<br><b>When: </b>a year ago<br>It's nice except for pushy waiters trying to get you into their restaurants and the constant nagging of street sellers..... that and its very busy!!! Go in the evening it's much better!!!<br><br>",PRK
32,Courtyard of the Pigna,http://www.museivaticani.va/,,12.4546059,41.90573979999999,4.7,265,"[]<b>Author: </b>Lina S. Low; <br><b>Rating: </b>5<br><b>When: </b>5 months ago<br>Before going into the Vatican Museum, you will pass by this giant fractured sphere called Sfera con Sfera, translated as Sphere within a Sphere, is a bronze statue that appears golden as the sun shines down on it. It is 4 meters (a little over 13 feet) in diameter.
First time i see it, really amazed me. maybe because its shining like gold. Good job to italian sculptor, Arnaldo Pomodoro. This is masterpiece!!.<br><br><b>Author: </b>K Adams; <br><b>Rating: </b>2<br><b>When: </b>a year ago<br>A nicely maintained lawn, a massive bronze pinecone (dating from ancient Roman times), a food tent, and far too many tourists. Given the treasures in the rest of the museum I don't think this place really warrants it's own separate listing. It does work as a place to get away from the worse crowds inside the Museum, though there are better views and more shade and space in the other Quad<br><br><b>Author: </b>Fiorisa Lentisco; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>Suggestions nd leisure<br><br><b>Author: </b>Anu Haden; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>Nice spot to sit down and get some sun after spending hours looking at paintings in dark lighting lol. There's two famous sculptures here, a pine cone (Pigna, located by the double  staircase) and The ""Sphere within a Sphere"" statue (the spinning orb in the center). The pigna is ancient, but the sphere is a modern art sculpture made in the 20th century by an Italian sculptor.<br><br><b>Author: </b>J J; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>Coffee break<br><br>",PRK
41,"Passpartout ,Roma - Borgo Pio 50",http://www.passpartoutroma.it/,+39 06 4041 2368,12.4609954,41.9038085,4.5,210,"[]<b>Author: </b>Cristian Pirnog; <br><b>Rating: </b>5<br><b>When: </b>6 months ago<br>This place was recommended to us from the hotel where we stayed and we're very grateful for that. We went for lunch there and absolutely loved the food - both pizza and pasta were delicious. I haven't had desert myself, but my kids said it was also very good. Being so close to the Vatican City, the place has also quite decent prices.<br><br><b>Author: </b>Emin A.; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>Nice atmosphere, very good service, also they have an English menu, the waiter offered me an English menu, very tasty food and good prices. This restaurant is my favorite in Rome<br><br><b>Author: </b>Annika Lauwen; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>Cocktails were expensive but good. Carbonara pasta with truffle was soooo good! We ordered another plate. Best pasta I've had in my entire life.<br><br><b>Author: </b>Vincenzo Piscioneri; <br><b>Rating: </b>3<br><b>When: </b>6 months ago<br>We went there for an aperitivo at the end of a long day. The aperitivo offer is ok, you get three tastings from the kitchen and a drink for 10 euro. But the prosecco was flat and the bloody Mary had the tiniest amount of vodka in it. The food on the other hand was lovely<br><br><b>Author: </b>ΔΗΜΗΤΡΑ ΜΠΑΤΑ; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>The Cheesecake the cappuccino: everything we ordered, was excellent. The service, the atmosphere was so nice! I recommend this place<br><br>",PRK
1,Fontana di Piazza Farnese,http://www.sovraintendenzaroma.it/,+39 06 0608,12.4714431,41.89500969999999,4.5,129,"[]<b>Author: </b>Simone Coletta; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>The Square is really nice, good for the nightlife, lots of space and security as there is police and army nearby, recommended<br><br><b>Author: </b>Rue Jer; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>All points in Rome are beautiful<br><br><b>Author: </b>Steven Rahman; <br><b>Rating: </b>5<br><b>When: </b>2 years ago<br>Put this fountain on your walking tour to see the Farnese Palace.  It's the French Embassy in Italy, designed by Michelangelo.  Try seeing it in the early evening to admire the views of the illuminated rooms.<br><br><b>Author: </b>Jivko Velev; <br><b>Rating: </b>3<br><b>When: </b>a year ago<br>There are two identical fountains, looking like bathtub in front of the French Palace/Palazzo Farnese/, at Piazza Farnese.<br><br><b>Author: </b>Rasp Berry; <br><b>Rating: </b>4<br><b>When: </b>3 years ago<br>The place has potential. Palace block is famous and influential renessaince building,  but courtyard look's like a parking lot, cars are next to fountains, it could be polished more.<br><br>",PRK
20,Fountain of the Books,http://www.prolocoroma.it/la-fontana-dei-libri-roma/,,12.4741563,41.8984341,4.6,68,"[]<b>Author: </b>Rue Jer; <br><b>Rating: </b>3<br><b>When: </b>2 months ago<br>Not showing mush , no sign or so<br><br><b>Author: </b>Banana Moon; <br><b>Rating: </b>5<br><b>When: </b>7 months ago<br>Nice<br><br><b>Author: </b>Marco Bucci; <br><b>Rating: </b>5<br><b>When: </b>2 years ago<br>It is a fountain that I first saw on internet years ago. It was a nice surprise to find out accidentally in the streets of Roma, because the fountain is simple. Yet, it has its charm.<br><br><b>Author: </b>Pietro Bergamaschini; <br><b>Rating: </b>5<br><b>When: </b>4 years ago<br>One of the countless Roman Fountains. To the side of the Palazzo Madama, seat of the Senate.<br><br><b>Author: </b>Valentina Farinelli; <br><b>Rating: </b>4<br><b>When: </b>5 years ago<br>Pretty little fountain overlooked by the most :)<br><br>",PRK
38,Cortile Ottagono,,,12.4548014,41.90647269999999,4.7,44,"[]<b>Author: </b>Dijana; <br><b>Rating: </b>5<br><b>When: </b>3 months ago<br>Octagonal Courtyard is the inner court of the Belvedere Palace.  It used to be known as the Cortille delle Statue. My favorite is Laocoon and his sons.<br><br><b>Author: </b>Jon Strata-Haven Lord Buckingham the 4th; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Went here to begin my pilgrimage in the Holy Land. Start of Art.<br><br><b>Author: </b>Henry and Horne Wealth Management; <br><b>Rating: </b>5<br><b>When: </b>2 years ago<br>Obviously one of the most amazing collections of art. you will ever see in your lifetime and completely unique to this one place in the world.<br><br><b>Author: </b>Andres Chile; <br><b>Rating: </b>5<br><b>When: </b>3 years ago<br>The most remarkable statues of the collection are here, the ""Laocoonte"" and ""Belvedere's Apollo"" are just amazing<br><br><b>Author: </b>Shikha Singh; <br><b>Rating: </b>5<br><b>When: </b>2 years ago<br>Beautiful place...<br><br>",PRK
0,Villa Abamelek,,,12.4574043,41.88817969999999,4.6,44,"[]<b>Author: </b>Antonio Vescio; <br><b>Rating: </b>4<br><b>When: </b>6 months ago<br>Unfortunately I could not visit it because I was out of hours, but from the outside it was very beautiful. I will definitely come back for a visit<br><br><b>Author: </b>Stefano Sabuzi; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Wonderful. Too bad it is not possible to visit it because it is owned by the Russian Federation.<br><br><b>Author: </b>Romeo Charlie; <br><b>Rating: </b>4<br><b>When: </b>9 months ago<br>Wonderful location, historical and rich. Unfortunately, I don't think there are days in which it can be visited by the public, being an embassy. Russia in the heart of the heart of Rome.
Thanks if you would like to click like below.<br><br><b>Author: </b>Ala Fazz; <br><b>Rating: </b>1<br><b>When: </b>3 weeks ago<br>Big<br><br><b>Author: </b>Fpixile P; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>The Russians in Italy want us very well<br><br>",PRK
28,Fontana dell'Aquilone,,,12.4514706,41.9038995,4.7,32,"[]<b>Author: </b>B.J.R.; <br><b>Rating: </b>4<br><b>When: </b>4 months ago<br>The largest of all 100 garden fountains. It takes this name from the huge concrete eagle that surmounts its spire. It has an oval swimming pool measuring approximately 32x12m.<br><br><b>Author: </b>Jaroslaw Dabrowski; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>Nice fountain in the heart of the Vatican.<br><br><b>Author: </b>Alex Urso; <br><b>Rating: </b>4<br><b>When: </b>3 weeks ago<br>Splendid place! A tiny country ""micro-state"" located in the heart of one of the most unique cities in the world. What to have full eyes. I highly recommend to anyone visiting the Vatican or the city of Rome.<br><br><b>Author: </b>Андрей Корсаков; <br><b>Rating: </b>4<br><b>When: </b>7 months ago<br>beautiful but not very well maintained fountain<br><br><b>Author: </b>Christophe Gilier; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Magnificent<br><br>",PRK
30,Giardino Quadrato,,,12.452841,41.9053927,4.7,30,"[]<b>Author: </b>JK Thum (TJK); <br><b>Rating: </b>4<br><b>When: </b>2 years ago<br>Very well maintained<br><br><b>Author: </b>Add Name; <br><b>Rating: </b>5<br><b>When: </b>2 years ago<br>Citruses are eaten by vatican green parrots<br><br><b>Author: </b>Alan DoubleYou; <br><b>Rating: </b>5<br><b>When: </b>2 years ago<br>Beautiful garden<br><br><b>Author: </b>Michael Otillinger; <br><b>Rating: </b>5<br><b>When: </b>8 months ago<br>Beautiful place, especially in the evening, really nice view, in the foreground the garden and behind it the dome of St. Peter's Basilica.<br><br><b>Author: </b>Alessio Fauni; <br><b>Rating: </b>5<br><b>When: </b>a year ago<br>Visible only if you enter the Vatican Museums, after the first rooms, you go outside and you are in this fabulous internal garden. Very well cared for and with an incredible green lawn, it allows you to stop in comfortable benches while enjoying the multitude of period buildings and works scattered around. Really beautiful<br><br>",PRK
35,Fontana delle Tiare,,,12.4578041,41.9032632,4.8,29,"[]<b>Author: </b>Dijana; <br><b>Rating: </b>4<br><b>When: </b>3 months ago<br>Very nice fountain but neglected. Too bad.<br><br><b>Author: </b>Prashant Singh; <br><b>Rating: </b>5<br><b>When: </b>10 months ago<br>Words can’t describe... simply amazing...<br><br><b>Author: </b>Asif J Iqbal; <br><b>Rating: </b>4<br><b>When: </b>a year ago<br>The smallest country and it was a great to visit and collect historical information.<br><br><b>Author: </b>Santiago David Quiroga; <br><b>Rating: </b>5<br><b>When: </b>4 years ago<br>Free, natural and so fresh water! So good, the Rome's water is one of the best ones in Italy. This is something very typical in Rome, public fountains that give fresh water all the time for free<br><br><b>Author: </b>Gianluca Pica; <br><b>Rating: </b>5<br><b>When: </b>a month ago<br>Here is one of the small local fountains of Rome, one of those added in the 1920s to give the Roman districts a new symbol.
As a local tourist guide I tend to point out how the curious fountain, even in a rather conspicuous way, refers to the constant presence of the Pope in the Vatican, since the 13th century. Although, it is fair to say, the Fontana delle Tiare symbolizes the Borgo district, the one built close to the Vatican walls and, consequently, in constant and intimate relationship with the pontiff.
Excellent point, I still suggest, where to get fresh and healthy water on hot summer days.<br><br>",PRK
